number,FIELD.CODE,LAT,LONG
1,F00VAU35,34.30865752,-93.49260486
2,F00VAU36,34.31089166,-93.51511513
3,F00VAU37,34.30924233,-93.51056223
4,F00VAU42,34.30171555,-93.42196098
5,F00VAU40,34.30964126,-93.43271657
6,F00VAU39,34.30992724,-93.44103217
7,F00VAU41,34.30352772,-93.42731676
8,F95VAU04,34.098533,-94.902435
9,F96VAU10,34.138331,-94.902232
11,F96VAU08,34.151176,-94.919793
12,F96VAU11,34.294207,-94.954112
13,F96VAU09,34.1355892,-94.915112
14,F96VAU12,34.281597,-94.916563
15,F96VAU15,34.258519,-94.914457
16,F96VAU16,34.20883,-94.932498
17,F96VAU17,34.188823,-94.93408
18,F96VAU18,34.183764,-94.928691
19,F96VAU19,34.250696,-94.914985
20,F96VAU23,34.221421,-94.915695
21,F96VAU24,34.169003,-94.913064
22,F93PYR25,34.032726,-94.939949
23,F20VAU08,34.169,-94.913056
24,F20VAU12,34.243139,-94.917028
25,F90VAU28-29,34.68206421,-94.98858908
26,F90VAU37,34.67401193,-94.95859235
27,F90PAR1,34.65623673,-95.05470246
28,F91VAU15,34.657,-95.055153
29,F03VAU10,34.65623673,-95.05470246
30,F90PAR4,34.6117942,-95.29499132
31,F91VAU23,34.613851,-95.298356
32,F92VAU06,34.6117942,-95.29499132
33,F90VAU42,34.573977,-95.345339
34,F91VAU22,34.574301,-95.341885
35,Tammy1,34.572323,-95.360092
36,Tammy2,34.565872,-95.36433
37,Tammy3,34.548328,-95.420879
38,Tammy4,34.55157,-95.432668
39,DS Tammy's,34.573,-95.359
40,F90VAU43,34.53929563,-95.46581965
41,spoo15,34.69629811,-95.04672905
42,spoo20,34.33892035,-95.63703163
43,CarlaKM5-10,34.50602023,-95.49581924
44,F90VAU46,34.448217,-95.565621
45,F90VAU44,34.42584221,-95.57797725
47,F91VAU18,34.428595,-95.581391
48,K7-21,34.427437,-95.581691
49,F90VAU41,34.42584221,-95.57797725
50,F03VAU02,34.339608,-95.635249
51,F92PYR22,34.454922,-95.627675
52,F90VAU48,34.254583,-95.624894
53,F93PYR23,34.23894071,-95.48849253
54,F03VAU04,34.68181043,-94.9778965
55,F03VAU05,34.68363567,-94.98928012
56,F03VAU07,34.67729327,-95.0142298
57,F03VAU11,34.65692459,-95.04626211
58,F03VAU18,34.59601533,-95.3305329
59,F19VAU03,34.661028,-94.773139
60,F19VAU04,34.612889,-95.296139
61,F19VAU05,34.640139,-95.080222
62,F19VAU06,34.643611,-95.074056
63,F19VAU15,34.61741,-95.22255
64,F19VAU16,34.67263,-95.01877
65,F19VAU19,34.56586,-95.36408
66,F19VAU20,34.55108,-95.43266
67,F06ALL02,34.03399598,-95.00142773
68,F16VAU26,34.02373,-94.96479
69,F06ALL05,34.0229925,-94.94942777
70,F06ALL06,34.02292634,-94.94563605
71,F06ALL07,33.98749181,-94.947783
72,F06ALL08,33.96762387,-94.92278508
73,F06ALL09,33.95202,-94.888998
74,F16VAU08,33.942555,-94.761851
75,F06VAU11,34.03010871,-94.98704085
77,F06ALL13,33.93733178,-94.80575056
78,14ANDst,33.94036924,-94.78358155
79,F93PYR17,33.94055024,-94.79485243
80,F93PYR19,33.96745217,-94.90584715
81,F93PYR24,34.01950517,-94.93762941
82,F06ALL17,33.942995,-94.692232
83,F16VAU12,33.939629,-94.768675
84,F06ALL21,33.94810071,-94.87494426
85,F16VAU22,34.090872,-95.064152
86,F94VAU09,34.49277712,-95.13301319
87,F21VAU08,34.31284,-95.18351
88,F94VAU31,34.32703888,-95.1991577
90,F15VAULY,33.94853696,-94.73387099
91,CarlaL1,34.4040355,-95.1635205
92,CarlaL2,34.4742,-95.1864
93,F15VAU01,34.427115,-95.183517
94,F94VAU42,33.94489891,-94.68306597
95,F94VAU44,33.95125141,-94.59936953
96,F94VAU45,33.94200039,-94.61906469
97,F94VAU55,33.94185076,-94.47993204
98,F94VAU56,33.9395394,-94.4835898
99,F16VAU01,33.93206,-94.711498
100,F16VAU02,33.934697,-94.70919
101,F16VAU03,33.937462,-94.699456
102,F16VAU05,33.953997,-94.585011
103,F16VAU06,33.942013,-94.74544
104,F16VAU10,33.938931,-94.783105
105,F16VAU13,33.941882,-94.816115
106,F16VAU14,34.026103,-95.003311
107,F16VAU15,34.034132,-95.00116
108,F06ALL03,34.03010871,-94.98704085
109,F16VAU16,34.047,-94.992945
110,F16VAU17,34.042983,-95.001298
111,F16VAU18,34.035091,-95.003707
112,F16VAU19,34.048068,-95.024787
113,F16VAU20,34.047986,-95.03899
114,F16VAU21,34.107291,-95.077275
115,F16VAU23,33.964208,-94.903584
116,F16VAU25,33.948003,-94.875438
117,F16VAU27,34.018428,-94.937184
118,F16VAU29,33.990378,-94.952955
119,F16VAU28,33.984821,-94.942248
120,F16VAU30,34.00306,-94.945628
121,F16VAU31,33.948941,-94.563001
122,F16VAU32,33.945609,-94.51792
123,F16VAU33,33.937724,-94.508369
124,F16VAU34,33.941243,-94.482066
125,F16VAU35,33.934183,-94.488075
126,F05SPO10,33.93522382,-94.82699657
127,F05SPO13,33.95434757,-94.58719476
128,F05SPO14,33.93991753,-94.76926936
129,F15VAU04,33.948407,-94.728115
130,F15VAU08,33.938346,-94.712937
131,F21VAU07,34.30859,-95.18408
132,F97VAU27,34.434528,-94.660967
133,CarlaMFM1-12,34.497888,-94.46729
134,CarlaMF2-12,34.468542,-94.523812
135,F97VAU32,34.464956,-94.595776
136,CarlaMF3-10,34.458679,-94.607919
137,F20VAU03,34.461339,-94.588322
138,F97VAU34,34.460202,-94.629032
139,F97VAU35,34.46052,-94.636178
140,F99VAU03,34.48787,-94.484817
141,F99VAU08,34.461338,-94.588321
142,F99VAU27,34.527709,-94.399094
143,F99VAU28,34.521488,-94.420563
144,F99VAU29,34.442648,-94.656705
145,CarlaMF4-10,34.45590218,-94.63792157
148,F19VAU07,34.478472,-94.523306
149,F19VAU09,34.468722,-94.52375
150,F19VAU11,34.45969,-94.638083
151,F99VAU15,34.59830365,-93.71618012
152,F00VAU12,34.61182797,-93.7612445
153,F00VAU14,34.6102183,-93.78613021
155,F99VAU16,34.64204648,-93.68998745
156,F99VAU18,34.56691059,-93.93041322
157,F99VAU20,34.59766491,-93.85977463
158,F99VAU21,34.58113581,-93.87495578
159,F99VAU24,34.61090212,-93.74469015
160,F00VAU06,34.89346385,-94.38515951
161,F00VAU07,34.88672689,-94.40258728
162,F00VAU09,34.87643069,-94.48008301
163,F00VAU20,34.924228,-94.195012
164,F00VAU24,34.91692944,-94.27093152
